lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,OG3x,OG3xcopy,YG3x,YG3xcopy,Blank
TAG(48:1)_FA 16:0,-0.6440607550439819,12.797375628097626,1930.8984390469993,0,0,822.8 -> 549.8,TAG1,430516.85375974,430516.85375974,697765.97119128,697765.97119128,346247.02294909
TAG(48:2)_FA 16:0,-0.6553085685170386,11.116971536073939,1923.2842569824081,0,0,820.8 -> 547.8,TAG1,134757.4692383,134757.4692383,220119.49536122,220119.49536122,103343.92736815
TAG(48:2)_FA 16:1,-0.6173490224015596,12.781280446007445,1774.729003324035,0,0,820.8 -> 549.8,TAG1,427672.12927236,427672.12927236,680439.54101538,680439.54101538,353761.38647432
TAG(48:3)_FA 16:1,-0.6632029548014379,11.10259500427034,1967.2813098157728,0,0,818.8 -> 547.8,TAG1,131682.78930666,131682.78930666,216277.39575203,216277.39575203,107561.92736815
TAG(50:1)_FA 18:2,-0.9015497983676521,8.481412283459527,2812.056364994828,0,0,852.8 -> 555.8,TAG2,19898.401214602,19898.401214602,38552.362609858,38552.362609858,14176.0610122697
TAG(52:0)_FA 18:0,0.6900214882370824,13.448550550487791,2225.418641115786,0,0,880.8 -> 579.8,TAG1,962599.28662092,962599.28662092,618822.8037108,618822.8037108,813070.89404308
TAG(52:0)_FA 18:2,-0.8214720409542321,8.795976273620782,2459.7793540739185,0,0,880.8 -> 583.8,TAG2,25055.421936034,25055.421936034,45922.803283699,45922.803283699,20486.561508174
TAG(52:0)_FA 20:4,-0.7469280314183628,8.20068384040252,1810.8758048198608,0,0,880.8 -> 559.8,TAG2,16535.8211212163,16535.8211212163,28781.462036137,28781.462036137,16182.9012146
TAG(52:1)_FA 16:0,0.5986037085054211,12.881124192201932,1669.181647135143,0,0,878.8 -> 605.8,TAG1,643643.42590345,643643.42590345,440844.67187536,440844.67187536,523306.11779797
TAG(52:1)_FA 18:1,0.6518700412239743,14.142166676120311,1997.8203807937277,0,0,878.8 -> 579.8,TAG1,1539352.6353758,1539352.6353758,1016116.8144534,1016116.8144534,1318826.41308606
TAG(52:1)_FA 20:4,-0.8409181062627445,7.933667209285005,2175.3491796397275,0,0,878.8 -> 557.8,TAG2,13710.180992126,13710.180992126,25469.7417411762,25469.7417411762,10898.6408615127
TAG(52:2)_FA 16:0,0.5867009765127882,13.101536853845134,1608.751595583526,0,0,876.8 -> 603.8,TAG1,767597.97412101,767597.97412101,530099.220703,530099.220703,557451.97900371
TAG(52:2)_FA 16:1,0.6383478328762826,12.986098932862317,1898.7491712903898,0,0,876.8 -> 605.8,TAG1,700838.10461428,700838.10461428,466975.17285152,466975.17285152,560083.97839337
TAG(52:2)_FA 20:0,-1.4244917808828708,9.667361193404401,8034.438967637648,0,0,876.8 -> 547.8,TAG2,37203.942779552,37203.942779552,103572.066589379,103572.066589379,21220.901458745
TAG(52:2)_FA 20:4,-1.8910603903912013,8.923325114956569,12358.398337447337,0,0,876.8 -> 555.8,TAG2,17222.021270749,17222.021270749,66250.6849364498,66250.6849364498,13397.440948484
TAG(52:3)_FA 16:0,0.6956090579026052,11.71504529923528,2210.2190503479424,0,0,874.8 -> 601.8,TAG1,341644.22583001,341644.22583001,218782.59375009,218782.59375009,114232.4680176
TAG(52:3)_FA 16:1,0.5642053794042555,13.208854068334237,1490.134246863779,0,0,874.8 -> 603.8,TAG1,820183.10449268,820183.10449268,575315.4248047,575315.4248047,604447.77929689
TAG(52:3)_FA 20:0,-2.267608327938195,9.16522605209245,17696.493081135093,0,0,874.8 -> 545.8,TAG2,16750.90104675,16750.90104675,83655.966735841,83655.966735841,13514.1008987399
TAG(52:4)_FA 16:0,-0.7742805379319667,11.40301561386078,2714.916597882259,0,0,872.8 -> 599.8,TAG1,175112.91271965,175112.91271965,310626.101867692,310626.101867692,45338.363220197
TAG(52:4)_FA 16:1,0.641844929486272,11.745042554608833,1885.8307828139264,0,0,872.8 -> 601.8,TAG1,342774.24462888,342774.24462888,227840.79614254,227840.79614254,119366.34832762
TAG(52:4)_FA 20:0,-1.0433161098720791,7.743975140222703,3142.259264195748,0,0,872.8 -> 543.8,TAG2,10929.660842896,10929.660842896,23362.36164855,23362.36164855,9665.1807708724
TAG(52:5)_FA 16:0,0.6568668653603206,9.06184710710812,1659.4055368721572,0,0,870.8 -> 597.8,TAG1,52599.263946533,52599.263946533,34600.342529303,34600.342529303,20699.681396484
TAG(52:5)_FA 16:1,-0.6170012390143437,11.249058706343716,1723.9044303943167,0,0,870.8 -> 599.8,TAG1,167102.09008781,167102.09008781,265800.536926408,265800.536926408,45620.763244645
TAG(52:5)_FA 20:0,-1.1092957690600052,8.002737904609686,3785.9722164124437,0,0,870.8 -> 541.8,TAG2,12844.1809158353,12844.1809158353,28739.421966543,28739.421966543,10709.740848541
TAG(52:6)_FA 20:0,-2.2086650161468957,10.047945142395504,18568.63120166876,0,0,868.7 -> 539.7,TAG2,30717.942138671,30717.942138671,147267.170288092,147267.170288092,37056.002838112
TAG(54:0)_FA 16:1,-1.273208909757129,9.602175474256073,6423.11772074866,0,0,908.9 -> 637.9,TAG1,37336.462585452,37336.462585452,93593.587768555,93593.587768555,25807.841674801
TAG(54:0)_FA 18:0,0.7486993338905055,12.51933657144342,2583.6658485635367,0,0,908.9 -> 607.896,TAG1,496523.41284184,496523.41284184,306476.14257809,306476.14257809,469021.93164058
TAG(54:1)_FA 18:0,0.7292203923864377,13.914337008839231,2491.4831206629665,0,0,906.8 -> 605.8,TAG1,1349324.82275382,1349324.82275382,844184.25146487,844184.25146487,1107418.40380847
TAG(54:1)_FA 18:1,0.7288428000109597,13.205851565168896,2473.4686809103896,0,0,906.8 -> 607.8,TAG1,803084.50170915,803084.50170915,502568.92187509,502568.92187509,734094.1298827
TAG(54:1)_FA 20:4,-1.2716339087944335,8.656874399196603,5588.160097352876,0,0,906.8 -> 585.8,TAG2,18459.461364743,18459.461364743,46223.063629211,46223.063629211,18394.621200559
TAG(54:2)_FA 18:0,0.6045132032166843,14.314119867802182,1721.8700591794193,0,0,904.8 -> 603.8,TAG1,1742194.27856456,1742194.27856456,1188387.1152342,1188387.1152342,1408184.19921906
TAG(54:2)_FA 18:1,0.754195012987081,14.291384970750997,2668.7396182075254,0,0,904.8 -> 605.8,TAG1,1763772.94091779,1763772.94091779,1084539.3330078,1084539.3330078,1437880.91259753
TAG(54:2)_FA 18:2,0.5897402907567054,13.313719897348278,1629.1264401119827,0,0,904.8 -> 607.8,TAG2,905693.66723647,905693.66723647,624151.125,624151.125,605129.36230462
TAG(54:2)_FA 20:4,-3.5215205977578488,10.276866171500446,41585.13346233711,0,0,904.8 -> 583.8,TAG2,17599.201309207,17599.201309207,209612.49600212,209612.49600212,15939.46113586
TAG(54:3)_FA 18:1,0.6356044459116754,14.631914424911704,1904.6089721287665,0,0,902.8 -> 603.8,TAG1,2181010.96484379,2181010.96484379,1455994.7402345,1455994.7402345,1778007.96679718
TAG(54:3)_FA 18:2,0.6350846292289325,14.404309862392095,1900.5911814320145,0,0,902.8 -> 605.8,TAG2,2003618.29614265,2003618.29614265,1338053.3359375,1338053.3359375,1159490.5710449
TAG(54:4)_FA 18:0,-1.8402840611653282,12.186839852876423,14760.890042643023,0,0,900.8 -> 599.8,TAG1,178817.57470705,178817.57470705,664093.30798322,664093.30798322,76013.00598142
TAG(54:4)_FA 20:4,0.6386257700469613,13.456622100531611,1911.0054277988595,0,0,900.8 -> 579.8,TAG2,1040389.48193354,1040389.48193354,693088.00878918,693088.00878918,599624.78466816
TAG(54:5)_FA 18:1,-1.4016002227880793,12.08011568226823,8780.210273729152,0,0,898.8 -> 599.8,TAG1,204611.15380852,204611.15380852,560649.13757336,560649.13757336,94749.587219234
TAG(54:5)_FA 20:0,-0.9456535365777982,8.656058118294494,3071.81886180315,0,0,898.8 -> 569.8,TAG2,19184.34144592,19184.34144592,38322.722473132,38322.722473132,29862.362243653
TAG(54:6)_FA 18:2,-1.3640086902591209,12.298716695724258,8370.518887528993,0,0,896.8 -> 599.8,TAG2,247287.45764158,247287.45764158,660157.76074223,660157.76074223,84518.786224336
TAG(54:6)_FA 20:0,-0.7290635215508638,8.218074190178152,1738.7682234465722,0,0,896.8 -> 567.8,TAG2,17034.561126708,17034.561126708,29284.662078862,29284.662078862,15624.8611145
TAG(54:8)_FA 20:4,-0.851288240147874,8.677256422548362,2572.97597783623,0,0,892.7 -> 571.7,TAG2,22269.801452628,22269.801452628,41669.542877217,41669.542877217,21182.301589976
TAG(56:0)_FA 18:1,-1.1198266689297323,9.55485870256591,4994.473019677548,0,0,936.9 -> 637.896,TAG2,38894.70263673,38894.70263673,87665.885742267,87665.885742267,25036.12173462
TAG(56:0)_FA 20:0,0.6024069018903585,11.813167871671272,1659.4372415074238,0,0,936.9 -> 607.9,TAG2,319265.1223145,319265.1223145,218095.55493163,218095.55493163,219011.41601566
TAG(56:1)_FA 18:2,-1.0815172034740135,9.532454682148154,4663.62348321118,0,0,934.9 -> 637.896,TAG2,39271.462951657,39271.462951657,86195.566101037,86195.566101037,23248.381790156
TAG(56:1)_FA 20:0,0.5753181802961286,12.335248083789075,1532.8974274045638,0,0,934.9 -> 605.896,TAG2,473241.834961026,473241.834961026,329407.14672859,329407.14672859,267081.57958977
TAG(56:1)_FA 20:4,-1.7515041821449968,8.764949114756222,10479.864563520328,0,0,934.9 -> 613.9,TAG2,16558.8813018813,16558.8813018813,57826.4647216878,57826.4647216878,12511.040817261
TAG(56:2)_FA 20:4,-0.8488673127373237,8.475413677064976,2449.093490286859,0,0,932.9 -> 611.9,TAG2,18854.641265872,18854.641265872,35220.22235108,35220.22235108,20872.54147339
TAG(56:3)_FA 16:1,-0.7637302609698077,9.071993059914819,2226.831960094128,0,0,930.8 -> 659.8,TAG1,31642.86224365,31642.86224365,55721.164001458,55721.164001458,22572.421646124
TAG(56:4)_FA 20:0,-4.320985493901467,12.162193530393047,63990.345734015275,0,0,928.8 -> 599.8,TAG2,39814.322570794,39814.322570794,825324.783203262,825324.783203262,27200.601989751
TAG(56:4)_FA 20:4,0.6363063768252174,12.717685614398697,1881.675644750877,0,0,928.8 -> 607.8,TAG2,605056.42480438,605056.42480438,403725.79150367,403725.79150367,405044.20703118
TAG(56:5)_FA 20:0,-0.9403553183520924,8.465870292699913,3035.5198909394508,0,0,926.8 -> 597.8,TAG2,19159.581405638,19159.581405638,38132.962707513,38132.962707513,14906.561065672
TAG(56:5)_FA 20:4,0.6569571245287523,13.723659112331358,2025.266311320101,0,0,926.8 -> 605.8,TAG2,1258144.81127948,1258144.81127948,827570.07812476,827570.07812476,721574.87622103
TAG(56:8)_FA 20:4,-3.0628388783035962,12.364701297007615,37002.56872729929,0,0,920.8 -> 599.8,TAG2,100354.72680664,100354.72680664,869726.44104002,869726.44104002,66905.824890145
TAG(58:1)_FA 20:4,-0.9059671328724495,8.130874155905433,2621.4157412308427,0,0,962.9 -> 641.9,TAG2,15098.820861816,15098.820861816,29343.101730359,29343.101730359,13352.380851745
TAG(58:3)_FA 20:4,-0.9711502520987325,8.830472521555281,3448.194792946249,0,0,958.9 -> 637.9,TAG2,24672.861572255,24672.861572255,50165.363708485,50165.363708485,17605.881286619
TAG(58:5)_FA 20:0,-0.8658842983635904,8.290495356944541,2488.3045722545403,0,0,954.8 -> 625.8,TAG2,17278.141128542,17278.141128542,32658.30204772,32658.30204772,14446.560981749
TAG(58:8)_FA 18:0,0.6052502306819275,12.36006843280339,1690.9209520666932,0,0,948.8 -> 647.8,TAG1,431710.06738256,431710.06738256,294328.02038586,294328.02038586,410344.10937488
TAG(58:8)_FA 20:0,-0.6570559339499875,10.198574321845788,1846.9314232129243,0,0,948.8 -> 619.796,TAG2,72560.385009761,72560.385009761,118667.38732911,118667.38732911,49043.503509492
TAG(58:9)_FA 20:4,-0.7375272872851051,8.408935103048476,1856.5907474031503,0,0,946.8 -> 625.8,TAG2,19658.781433106,19658.781433106,33994.882583626,33994.882583626,16575.9212493891
TAG(60:0)_FA 20:4,-0.7190558981567328,7.996775101338603,1601.549563699228,0,0,992.9 -> 671.9,TAG2,14444.0210609462,14444.0210609462,24659.5418624979,24659.5418624979,14429.4208526611
TAG(60:1)_FA 20:4,-1.678062367506797,8.22194778714587,8698.16124954969,0,0,990.9 -> 669.9,TAG2,11607.0608749397,11607.0608749397,38522.1627426137,38522.1627426137,9843.7006454452
TAG(60:11)_FA 18:0,-0.9314592428426461,7.854358824969475,2597.235189099629,0,0,970.9 -> 669.9,TAG1,12401.000946043,12401.000946043,24529.801605226,24529.801605226,10579.4207305929
TAG(60:11)_FA 20:0,-0.9861751458597634,8.152368792772142,3117.1633538096594,0,0,970.9 -> 641.9,TAG2,14980.181091308,14980.181091308,30776.922409056,30776.922409056,12503.24098205
TAG(60:12)_FA 18:1,-0.9271490663076739,7.99412786059346,2656.809647437316,0,0,968.9 -> 669.9,TAG2,13598.541015627,13598.541015627,26818.341857895,26818.341857895,12136.440773012
TAG(60:12)_FA 20:0,-0.8956301426180248,8.439537167550638,2755.127144656314,0,0,968.9 -> 639.9,TAG2,19386.701370235998,19386.701370235998,37407.162780749,37407.162780749,13729.441070559
TAG(60:2)_FA 20:0,-1.2355053662057698,8.790261084947524,5476.353781529165,0,0,988.9 -> 659.896,TAG2,21716.981628418,21716.981628418,53035.064041095,53035.064041095,14049.040977474
TAG(60:2)_FA 20:4,-1.9457090525304983,8.686040805724721,12488.627731538929,0,0,988.9 -> 667.9,TAG2,14123.0209541332,14123.0209541332,56426.7844619612,56426.7844619612,11669.760879518
TAG(60:3)_FA 16:0,-2.0605386104727232,8.62056460432804,13640.506677393538,0,0,986.9 -> 713.9,TAG1,12629.580986024,12629.580986024,54640.443725581,54640.443725581,11393.300865172
TAG(60:4)_FA 16:1,-1.5704463209739652,8.336582086324425,7872.832261314726,0,0,984.9 -> 713.9,TAG1,13159.8007774357,13159.8007774357,40536.062576285,40536.062576285,11631.9008560163
TAG(60:4)_FA 20:0,-1.2012475406647258,8.429298765950799,4810.547006147101,0,0,984.9 -> 655.9,TAG2,16330.42106628,16330.42106628,38944.742599477,38944.742599477,15574.660980222
TAG(60:4)_FA 20:4,-0.6060443509936363,11.138741874711556,1650.6340889997548,0,0,984.9 -> 663.9,TAG2,142797.868835478,142797.868835478,225422.552856402,225422.552856402,92551.126037624
TAG(60:5)_FA 20:0,-1.1003867712428432,8.535542743161235,4187.133655194064,0,0,982.9 -> 653.9,TAG2,19072.921554566,19072.921554566,42413.702850341,42413.702850341,13508.701049803
TAG(60:6)_FA 20:4,-1.162849358630696,8.912729964912796,4962.119794322954,0,0,980.9 -> 659.9,TAG2,24342.021881098,24342.021881098,56526.023406963,56526.023406963,16139.201126097
TAG(60:8)_FA 18:0,0.5895831355516385,12.637267494893079,1613.3929109967182,0,0,976.9 -> 675.9,TAG1,530082.035949461,530082.035949461,365341.32495115,365341.32495115,473344.31274432
TAG(60:8)_FA 20:4,-1.1170424232949812,8.316938364872778,4106.812623742107,0,0,976.9 -> 655.9,TAG2,15881.721069337,15881.721069337,35727.342689508,35727.342689508,13568.140827182
TAG(60:9)_FA 20:0,-0.8966384024667463,8.855965081546882,2954.8823799342126,0,0,974.9 -> 645.9,TAG2,25622.381927506998,25622.381927506998,49473.603210435,49473.603210435,19628.781448365
TAG(60:9)_FA 20:4,-0.8203883834928691,8.49927032147513,2345.352527344531,0,0,974.9 -> 653.9,TAG2,20825.101501465,20825.101501465,38140.622741689,38140.622741689,14674.521011354
TAG(52:2)_FA 18:2,0.5544119536854802,14.30853139559724,1450.5854325574633,2.139169e-317,1.0241271e-316,876.8 -> 579.8,TAG2,1830945.97668461,1830945.97668461,1293060.5527346,1293060.5527346,1091937.5898439
TAG(52:1)_FA 18:0,0.5524603341166601,14.22374714187687,1439.1442786680823,6.552049947e-315,3.0980680613e-314,878.8 -> 577.8,TAG1,1602248.80957039,1602248.80957039,1133080.5488282,1133080.5488282,1350424.69409158
TAG(58:10)_FA 20:0,-0.6261599689378817,8.757283139926075,1433.5260821206343,1.0894348614e-313,5.0884579502e-313,944.8 -> 615.8,TAG2,26523.721755982,26523.721755982,42458.643463167,42458.643463167,20026.021347046
TAG(56:2)_FA 20:0,0.5579944854669397,11.953465267979391,1431.420412969606,3.12435423127e-313,1.441720085033e-312,932.9 -> 603.9,TAG2,357225.7624511,357225.7624511,251656.17724609,251656.17724609,216023.715332138
TAG(56:8)_FA 16:0,0.5532222367767993,12.793972025946665,1424.3568635494819,1.070688732918e-311,4.8818307703297e-311,920.8 -> 647.8,TAG1,572170.66003426,572170.66003426,404414.78613291,404414.78613291,560915.87817384
TAG(58:4)_FA 20:0,-0.7008622674995588,7.6265747829511294,1396.9617119468458,9.608509303721709e-306,4.329481250971076e-305,956.9 -> 627.9,TAG2,11529.480773924,11529.480773924,19437.041366574,19437.041366574,9925.580780027
TAG(58:8)_FA 16:0,0.5451470583000647,12.954886340818199,1386.777688392071,1.569188748617125e-303,6.988363845585567e-303,948.8 -> 675.8,TAG1,650959.6276853,650959.6276853,462686.01562483,462686.01562483,593694.08081056
TAG(54:4)_FA 18:2,0.5366838792884701,14.755992266264428,1362.1680566950336,3.4951937006809327e-298,1.5386887211043648e-297,900.8 -> 603.8,TAG2,2490769.8413076,2490769.8413076,1780793.7285157,1780793.7285157,1472134.55224597
TAG(56:8)_FA 18:0,0.5442517376805557,11.932881831766968,1356.0291728891166,7.542100607047206e-297,3.2825278778398637e-296,920.8 -> 619.8,TAG1,311365.401367249,311365.401367249,221448.19604492,221448.19604492,316690.84130859
TAG(60:5)_FA 18:2,0.5809351780211023,9.437986558000414,1355.5994167175281,9.351502986053526e-297,4.0242984760207866e-296,982.9 -> 685.9,TAG2,65445.884445189,65445.884445189,45377.543075543,45377.543075543,30813.561981188
TAG(58:9)_FA 16:1,0.5378955784934478,12.898266489993318,1349.1476557510468,2.3599235203413805e-295,1.0042785647674986e-294,946.8 -> 675.8,TAG1,618565.12622062,618565.12622062,441876.25219715,441876.25219715,586767.71972651
TAG(58:10)_FA 18:0,0.5852338298620299,9.092856440564441,1327.9102544857303,9.727052694231747e-291,4.0939133866931417e-290,944.8 -> 643.8,TAG1,53127.724060069,53127.724060069,36727.022567726,36727.022567726,19980.561523432
TAG(52:1)_FA 16:1,0.5288769270840521,11.995603615993225,1284.4243293571787,2.7418835155350344e-281,1.141458028749911e-280,878.8 -> 607.8,TAG1,334897.12548828,334897.12548828,240736.25585939,240736.25585939,301388.7807617
TAG(56:6)_FA 20:4,0.5161077004599056,14.202760255955596,1257.4253201662248,2.020297303238462e-275,8.320149109035817e-275,924.8 -> 603.8,TAG2,1669825.88696289,1669825.88696289,1211003.0898436,1211003.0898436,1049822.17651351
TAG(58:3)_FA 16:0,0.5587742191003908,9.5556722019487,1255.3721542946225,5.6442842986652606e-275,2.2997456238178667e-274,958.9 -> 685.9,TAG1,65159.845306383,65159.845306383,45878.563598637,45878.563598637,48137.803680402
TAG(58:10)_FA 18:2,0.5126111379299252,12.54334921203375,1223.118692750205,5.767690187115955e-268,2.325289833332011e-267,944.8 -> 647.8,TAG2,545718.903076057,545718.903076057,396730.50952141,396730.50952141,285715.72009273
TAG(52:0)_FA 16:0,0.5100584144281213,11.895736462405551,1192.5890842077338,2.4882958829533536e-261,9.927263783032652e-261,880.8 -> 607.8,TAG1,313154.7827148,313154.7827148,228062.59716795,228062.59716795,275095.58007814
TAG(54:7)_FA 18:2,0.540609078128202,9.440252120547063,1181.818659530101,5.453015251492223e-259,2.1530977745582693e-258,894.8 -> 597.8,TAG2,67084.944366457,67084.944366457,47832.503387439,47832.503387439,24637.821563715
TAG(54:0)_FA 20:0,0.5086280746176234,11.20357592892109,1165.1153132623047,2.327062187293781e-255,9.094538956464471e-255,908.9 -> 579.9,TAG2,208698.93554687,208698.93554687,152140.83251953,152140.83251953,130511.56958007
TAG(52:2)_FA 18:1,0.49040003424537765,14.800428476474847,1138.1886873488415,1.655461393296123e-249,6.404461753862778e-249,876.8 -> 577.8,TAG1,2349220.81323283,2349220.81323283,1734349.7617187,1734349.7617187,2009908.42675761
TAG(48:2)_F A18:0,-0.5459677949436733,9.055771107273918,1132.6273007677232,2.6768285969772267e-248,1.0252253526422778e-247,820.8 -> 519.8,TAG1,32363.5222168,32363.5222168,49005.743682867,49005.743682867,30234.322021473
TAG(60:7)_FA 20:4,-0.5889826678468041,8.13402677177204,1128.0076373284267,2.701802894141054e-247,1.024545057877251e-246,978.9 -> 657.9,TAG2,17343.981231691,17343.981231691,27057.60186768,27057.60186768,13517.1808776822
TAG(60:4)_FA 18:1,0.5265753210547923,9.44210284424022,1118.6569073453527,2.9103367341677767e-245,1.09280291096692e-244,984.9 -> 685.896,TAG2,65611.744720469,65611.744720469,47239.383239755,47239.383239755,28219.301879878
TAG(54:5)_FA 20:4,0.4862234287748214,14.27246653990625,1117.123718227466,6.268567624322476e-245,2.3309333981703964e-244,898.8 -> 577.8,TAG2,1752184.78161623,1752184.78161623,1297328.7109377,1297328.7109377,1062895.28124999
TAG(60:9)_FA 16:1,0.5025083368653864,10.833317864952088,1114.2332742677318,2.6630653066125136e-244,9.80725011954416e-244,974.9 -> 703.9,TAG1,149368.828979514,149368.828979514,109352.24725341,109352.24725341,132730.00903322
TAG(58:8)_FA 20:4,-0.5714666078682591,8.368133569028739,1109.2790788629097,3.1778807613174943e-243,1.1591698396043813e-242,948.8 -> 627.8,TAG2,20165.141387942,20165.141387942,31079.122283931,31079.122283931,17551.3412628181
TAG(60:8)_FA 16:0,0.49657234756288926,10.817150117445307,1087.9724112008594,1.358393302621065e-238,4.908156933055357e-238,976.9 -> 703.9,TAG1,148650.710876498,148650.710876498,109275.2072754,109275.2072754,128027.648986791
